,betweenness,closeness,degree,in degree,out degree,page rank,hits hub,hits authority
1265795638551212032,0.004752985031155204,0.33801577113515496,0.3383458646616541,0.15789473684210525,0.18045112781954886,0.013753298762957422,0.01868958234935669,0.019668979191152906
184125091,2.0113553948140412e-05,0.2264484741264927,0.03759398496240601,0.007518796992481203,0.03007518796992481,0.0020838255310611812,0.0038169628067539355,0.0016847477532024521
343587148,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
2444133930,0.0015238853277477905,0.29612492770387505,0.11278195488721804,0.03759398496240601,0.07518796992481203,0.004912427181370805,0.007480950510731036,0.004779552142276929
839139788846411777,0.0021383188847303677,0.24747583243823845,0.07518796992481203,0.015037593984962405,0.06015037593984962,0.002670746352468178,0.006032898467347,0.001263604758919992
2417892751,0.002363910362960388,0.249256234110456,0.06766917293233082,0.015037593984962405,0.05263157894736842,0.002569042800900077,0.0034084414708745628,0.0021436620171303147
1111315973125169152,0.0087735254826226,0.36858102703567425,0.2631578947368421,0.17293233082706766,0.09022556390977443,0.012707577271504645,0.008113172621073046,0.020521066589700904
1195044761322823680,7.829472115186401e-05,0.007518796992481203,0.022556390977443608,0.007518796992481203,0.015037593984962405,0.0022369006218649744,0.0022686127859733868,0.0001259646207371319
116897811,0.0008439436529437379,0.2973958501403724,0.06766917293233082,0.015037593984962405,0.05263157894736842,0.0029481424980678734,0.0046852850259547895,0.0027384742787593627
1156797119149121541,0.0005722567461696877,0.2605008762507773,0.08270676691729323,0.03007518796992481,0.05263157894736842,0.0038908605257602933,0.004829054080146416,0.0016640093021935303
911963260005552128,1.2365537251120774e-05,0.22497802948930767,0.05263157894736842,0.007518796992481203,0.045112781954887216,0.0020838255310611812,0.0048381358707874815,0.0016847477532024521
20356196,0.0,0.0,0.022556390977443608,0.0,0.022556390977443608,0.001911835428600428,0.002232071110218824,-0.0
48677032,0.00019650910588990834,0.3178588673518659,0.07518796992481203,0.03759398496240601,0.03759398496240601,0.005474064335519295,0.005203010073223965,0.004855708794012457
157920406,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.001911835428600428,0.005544600477774208,-0.0
391867472,0.005525942392891556,0.4052235852789869,0.41353383458646614,0.2857142857142857,0.12781954887218044,0.022807129056149632,0.014016786374042915,0.03391507600910204
514667085,0.0029934123780052295,0.31932365475901736,0.3308270676691729,0.12030075187969924,0.21052631578947367,0.0100477485716885,0.021440124014560982,0.015773159443377083
1264438328,0.0,0.2282076158137279,0.015037593984962405,0.007518796992481203,0.007518796992481203,0.0020838255310611812,0.001918580257372672,0.0016847477532024521
18874262,0.019446110247209464,0.3609022556390977,0.23308270676691728,0.15789473684210525,0.07518796992481203,0.014956622743950565,0.009022202444361173,0.014764348691309834
393675585,0.004861092727060354,0.339672711189739,0.3308270676691729,0.18796992481203006,0.14285714285714285,0.014983225490885722,0.015357114314536183,0.020315603009737535
249661913,0.008475604403674472,0.398236971739694,0.39097744360902253,0.2781954887218045,0.11278195488721804,0.021179729107358727,0.012458659161445111,0.03296008887293139
2382305514,0.002430488040630802,0.316407456998661,0.18796992481203006,0.09022556390977443,0.09774436090225563,0.007931613985810989,0.007157699137122641,0.008129319029546014
350164545,0.012091613245049695,0.316407456998661,0.19548872180451127,0.09022556390977443,0.10526315789473684,0.008208625579469617,0.007089242665899324,0.006886982333488338
130671142,0.003926809067960751,0.3222941073614268,0.2631578947368421,0.13533834586466165,0.12781954887218044,0.009019504087501466,0.014973885489712313,0.013082306315774672
270044784,5.696058327637275e-05,0.21654135338345862,0.05263157894736842,0.03759398496240601,0.015037593984962405,0.0034221345255702517,0.002167399924747784,0.0018710386775098455
954235769618538496,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
16868154,0.006010986041078391,0.33474991827394573,0.3308270676691729,0.15789473684210525,0.17293233082706766,0.011682035892371104,0.018552928289683638,0.018057144529092323
59217922,0.028382202606843602,0.39148719255766534,0.42105263157894735,0.2631578947368421,0.15789473684210525,0.02229490529348428,0.0131633604277689,0.02270263706373939
